time,x,z
8.06,2095.47,10671
8.07,2098.07,10671
8.08,2100.67,10671
8.09,2103.27,10671
8.1,2105.87,10671
8.11,2108.47,10671
8.12,2111.07,10671
8.13,2113.66,10671
8.14,2116.26,10671
8.15,2118.86,10671
8.16,2121.46,10671.1
8.17,2124.06,10671.1
8.18,2126.66,10671.1
8.19,2129.26,10671.1
8.2,2131.86,10671.1
8.21,2134.46,10671.1
8.22,2137.06,10671.1
8.23,2139.66,10671.1
8.24,2142.26,10671.1
8.25,2144.86,10671.1
8.26,2147.46,10671.1
8.27,2150.06,10671.1
8.28,2152.66,10671.1
8.29,2155.26,10671.1
8.3,2157.86,10671.1
8.31,2160.46,10671.1
8.32,2163.06,10671.1
8.33,2165.66,10671.1
8.34,2168.25,10671.1
8.35,2170.85,10671.1
8.36,2173.45,10671.1
8.37,2176.05,10671.1
8.38,2178.65,10671.1
8.39,2181.25,10671.1
8.4,2183.85,10671.1
8.41,2186.45,10671.1
8.42,2189.05,10671.1
8.43,2191.65,10671.1
8.44,2194.25,10671.1
8.45,2196.85,10671.1
8.46,2199.45,10671.1
8.47,2202.05,10671.1
8.48,2204.65,10671.1
8.49,2207.25,10671.1
8.5,2209.85,10671.1
8.51,2212.45,10671.1
8.52,2215.05,10671.1
8.53,2217.65,10671.1
8.54,2220.24,10671.2
8.55,2222.84,10671.2
8.56,2225.44,10671.2
8.57,2228.04,10671.2
8.58,2230.64,10671.2
8.59,2233.24,10671.2
8.6,2235.84,10671.2
8.61,2238.44,10671.2
8.62,2241.04,10671.2
8.63,2243.64,10671.2
8.64,2246.24,10671.2
8.65,2248.84,10671.2
8.66,2251.44,10671.2
8.67,2254.04,10671.2
8.68,2256.64,10671.2
8.69,2259.24,10671.2
8.7,2261.84,10671.2
8.71,2264.44,10671.2
8.72,2267.04,10671.2
8.73,2269.64,10671.2
8.74,2272.23,10671.2
8.75,2274.83,10671.2
8.76,2277.43,10671.2
8.77,2280.03,10671.2
8.78,2282.63,10671.2
8.79,2285.23,10671.2
8.8,2287.83,10671.2
8.81,2290.43,10671.2
8.82,2293.03,10671.2
8.83,2295.63,10671.2
8.84,2298.23,10671.2
8.85,2300.83,10671.2
8.86,2303.43,10671.2
8.87,2306.03,10671.2
8.88,2308.63,10671.2
8.89,2311.23,10671.2
8.9,2313.83,10671.2
8.91,2316.43,10671.3
8.92,2319.02,10671.3
8.93,2321.62,10671.3
8.94,2324.22,10671.3
8.95,2326.82,10671.3
8.96,2329.42,10671.3
8.97,2332.02,10671.3
8.98,2334.62,10671.3
8.99,2337.22,10671.3
9,2339.82,10671.3
