# fitness=158.751
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
3,0,7,5,3,0.0717229,0.484134
3,2,7,4,3,0.0416302,-0.0230789
3,2,7,3,3,0.442863,0.664367
3,4,7,4,4,0.591271,0.784332
3,4,7,3,4,0.181561,0.753491
3,3,7,2,4,0.18591,0.340551
3,4,7,6,4,0.481983,0.0618908
3,5,7,6,4,0.592278,0.871759
3,6,7,6,5,0.31466,0.640134
3,6,7,5,5,0.491269,-0.0100688
3,7,7,5,5,0.601768,0.374825
3,7,7,6,5,0.319201,-0.0934079
3,7,7,7,5,0.271214,0.131673
3,8,7,7,5,0.914907,0.790002
3,8,7,8,5,0.577502,0.851304
3,9,7,8,5,0.115031,0.44327
3,9,7,8,6,0.18703,0.490035
3,9,7,7,6,0.319729,-0.97928
3,9,7,7,7,0.913914,-0.755471
3,9,7,8,7,0.796358,0.97715
0,3,7,6,4,0.893328,-0.304071
1,9,7,6,5,0.673673,-0.0396996
3,1,5,2,3,0.647137,0.741984
3,1,5,1,3,0.809814,-0.724895
3,1,5,1,2,0.301333,0.541893
3,0,5,1,2,0.664376,0.895646
3,3,5,4,4,0.66879,-0.940594
3,3,5,3,4,0.826382,0.238245
3,3,5,3,3,0.465399,-0.407052
3,3,5,2,3,0.143211,0.844894
3,2,5,2,3,0.0994407,-0.63483
3,2,5,1,3,0.237378,-0.377786
2,3,5,4,4,0.2238,-0.437353
2,3,5,4,3,0.676773,-0.806938
2,3,5,5,4,0.992002,0.446791
2,3,5,3,4,0.322983,0.604777
2,3,5,2,4,0.966203,-0.927822
2,3,5,2,3,0.841876,0.844498
2,2,5,4,3,0.522478,-0.387722
2,2,5,5,3,0.632088,-0.506334
2,3,5,5,3,0.0176986,-0.82432
2,3,5,3,3,0.428252,-0.55344
2,4,5,4,4,0.376247,0.305583
2,4,5,3,4,0.39771,0.218938
2,3,6,5,3,0.648075,-0.948868
2,3,6,2,3,0.274319,0.358925
2,6,6,7,5,0.307701,0.196104
2,8,6,6,6,0.120791,0.438243
2,9,6,6,6,0.943099,-0.729038
2,9,6,8,6,0.784339,0.928285
2,9,6,8,7,0.999871,0.904589
3,2,6,6,3,0.62513,-0.0443008
3,2,6,7,3,0.944864,0.164448
3,2,6,8,3,0.261094,0.93915
3,2,5,7,3,0.770333,0.324562
3,1,5,7,3,0.830903,-0.137778
2,1,5,7,3,0.611666,-0.293558
2,1,5,6,3,0.405976,-0.486731
2,2,5,6,3,0.682468,-0.847161
2,4,2,9,4,0.222282,0.0969536
2,4,2,8,4,0.343829,0.468109
2,7,2,7,6,0.680953,-0.457989
2,8,2,7,6,0.628395,-0.550764
2,8,2,8,6,0.90341,-0.0274564
5,0,7,2,3,0.940319,-0.658676
5,0,7,3,3,0.656888,-0.279514
5,0,7,4,3,0.231725,0.891207
5,1,7,4,3,0.820047,-0.023986
5,1,7,3,3,0.0542139,-0.875383
5,2,7,4,3,0.973596,-0.627527
5,2,7,5,3,0.73637,0.0657734
5,2,7,6,3,0.035867,0.624244
5,2,7,6,4,0.321784,0.684666
5,2,7,7,4,0.772417,-0.089542
5,3,7,7,4,0.755919,-0.0891383
5,4,7,7,4,0.830299,-0.10615
5,4,7,6,4,0.927009,-0.668297
5,5,7,6,4,0.517127,-0.616041
5,6,7,6,5,0.987878,0.620571
5,7,7,6,5,0.192625,0.570001
5,7,7,7,5,0.979055,0.377563
5,8,7,7,5,0.70307,-0.711248
5,9,7,7,5,0.230239,0.220776
5,9,7,7,6,0.673203,0.843985
5,9,7,6,6,0.466417,-0.658856
5,9,7,5,6,0.707616,-0.310463
3,0,6,3,2,0.87925,0.430813
3,0,6,2,3,0.0387944,-0.744811
3,1,6,2,3,0.107686,-0.946708
3,0,6,1,3,0.353986,-0.625016
3,0,6,3,3,0.853927,-0.795139
3,1,6,3,3,0.312689,-0.811207
3,1,6,4,3,0.966308,0.316137
3,2,6,4,3,0.790185,0.820035
3,2,6,3,3,0.478822,0.663164
3,2,6,2,3,0.408015,-0.676506
1,3,6,4,4,0.354652,-0.445834
1,3,6,5,4,0.154234,0.6019
1,4,6,5,4,0.0255542,0.288662
1,4,6,4,4,0.647939,0.604104
1,4,6,3,4,0.644305,-0.502352
1,3,6,3,4,0.285708,-0.185
1,4,5,5,4,0.139021,-0.602706
1,4,5,4,4,0.752674,-0.993232
1,4,5,3,4,0.357572,-0.659596
1,3,5,3,4,0.510413,0.89309
1,3,5,5,4,0.125335,0.567862
1,5,5,5,4,0.466333,-0.282578
1,6,5,5,5,0.930594,-0.274313
1,6,5,6,5,0.576845,-0.311276
1,7,5,6,5,0.49695,-0.649219
